TIME,CSPD_BOT,CDIR_BOT,CSPD_SURF,CDIR_SURF
2010-04-08 10:30:00,0.049,251.7,0.24,264.5
2010-04-08 11:00:00,0.095,237.3,0.14,260.4
2010-04-08 11:30:00,0.196,260.8,0.216,271.9
2010-04-08 12:00:00,0.098,237.0,0.201,260.6
2010-04-08 12:30:00,0.121,242.3,0.204,254.2
2010-04-08 13:00:00,0.122,260.2,0.19,292.0
2010-04-08 13:30:00,0.118,245.2,0.175,260.4
2010-04-08 14:00:00,0.192,251.8,0.266,290.2
2010-04-08 14:30:00,0.183,258.0,0.209,256.4
2010-04-08 15:00:00,0.147,254.4,0.263,281.8
2010-04-08 15:30:00,0.126,244.4,0.166,258.6
2010-04-08 16:00:00,0.111,257.5,0.326,282.9
2010-04-08 16:30:00,0.134,239.4,0.118,232.3
2010-04-08 17:00:00,0.205,249.2,0.098,255.3
2010-04-08 17:30:00,0.082,233.7,0.172,270.8
2010-04-08 18:00:00,0.179,259.6,0.266,261.5
2010-04-08 18:30:00,0.166,258.1,0.19,250.4
2010-04-08 19:00:00,0.094,249.7,0.189,241.9
2010-04-08 19:30:00,0.153,250.9,0.132,250.2
2010-04-08 20:00:00,0.11,261.6,0.131,262.5
2010-04-08 20:30:00,0.151,246.5,0.114,253.8
2010-04-08 21:00:00,0.108,294.9,0.183,255.4
2010-04-08 21:30:00,0.102,247.4,0.106,69.2
2010-04-08 22:00:00,0.166,258.5,0.148,245.3
2010-04-08 22:30:00,0.135,247.7,0.212,84.3
2010-04-08 23:00:00,0.152,262.5,0.159,255.7
2010-04-08 23:30:00,0.113,240.0,0.162,258.3
2010-04-09 00:00:00,0.116,254.4,0.197,255.2
2010-04-09 00:30:00,0.041,307.4,0.117,252.5
2010-04-09 01:00:00,0.096,252.5,0.085,244.0
2010-04-09 01:30:00,0.091,137.6,0.138,235.2
2010-04-09 02:00:00,0.085,246.5,0.073,236.5
2010-04-09 02:30:00,0.082,257.6,0.076,268.1
2010-04-09 03:00:00,0.123,271.9,0.051,263.7
2010-04-09 03:30:00,0.111,261.2,0.097,182.9
2010-04-09 04:00:00,0.075,249.3,0.108,279.1
2010-04-09 04:30:00,0.093,267.2,0.106,275.8
2010-04-09 05:00:00,0.079,261.2,0.078,266.8
2010-04-09 05:30:00,0.091,275.5,0.165,222.5
2010-04-09 06:00:00,0.065,250.7,0.065,209.0
2010-04-09 06:30:00,0.23,236.7,0.065,257.7
2010-04-09 07:00:00,0.101,247.2,0.161,253.2
2010-04-09 08:00:00,0.068,285.0,0.052,292.8
2010-04-09 08:30:00,0.062,271.8,0.222,247.0
2010-04-09 09:00:00,0.083,236.3,0.12,265.5
2010-04-09 09:30:00,0.144,298.0,0.053,324.2
2010-04-09 10:00:00,,,0.2,262.2
2010-04-09 10:30:00,0.118,213.3,0.171,270.5
2010-04-09 11:30:00,0.073,226.0,0.087,233.0
2010-04-09 12:00:00,0.184,280.7,0.081,269.2
2010-04-09 12:30:00,0.226,274.3,0.119,253.9
2010-04-09 13:00:00,0.121,258.1,0.102,222.7
2010-04-09 13:30:00,0.301,347.4,0.077,226.3
2010-04-09 14:00:00,0.102,242.4,0.191,297.7
2010-04-09 14:30:00,0.204,278.4,0.104,239.2
2010-04-09 15:00:00,0.126,254.9,0.15,239.3
2010-04-09 15:30:00,0.185,280.6,0.169,290.7
2010-04-09 16:00:00,0.191,292.6,0.098,253.9
2010-04-09 16:30:00,0.171,253.5,0.15,259.1
2010-04-09 17:00:00,0.158,262.6,0.127,266.7
2010-04-09 17:30:00,0.137,255.1,0.156,256.5
2010-04-09 18:00:00,0.103,255.6,0.212,255.1
2010-04-09 18:30:00,0.13,268.9,0.083,252.5
2010-04-09 19:00:00,0.108,255.4,0.248,262.3
2010-04-09 19:30:00,0.123,257.3,0.131,247.3
2010-04-09 20:00:00,0.147,270.7,0.132,257.2
2010-04-09 20:30:00,0.101,260.3,0.157,255.4
2010-04-09 21:00:00,0.086,258.0,0.163,250.9
2010-04-09 21:30:00,0.127,263.0,0.299,199.9
2010-04-09 22:00:00,0.12,257.5,0.123,276.1
2010-04-09 22:30:00,0.092,276.9,0.196,240.7
2010-04-09 23:00:00,0.079,217.9,0.19,268.5
2010-04-09 23:30:00,0.167,245.2,0.047,235.7
2010-04-10 00:00:00,0.108,276.5,0.165,266.3
2010-04-10 00:30:00,0.119,263.7,0.09,279.2
2010-04-10 01:00:00,0.091,277.2,0.077,294.0
2010-04-10 01:30:00,0.248,247.6,0.15,270.8
2010-04-10 02:00:00,0.056,217.0,0.346,241.5
2010-04-10 02:30:00,0.113,248.8,0.245,258.4
2010-04-10 03:00:00,0.258,253.9,0.264,255.1
2010-04-10 03:30:00,0.091,245.5,0.095,243.8
2010-04-10 04:00:00,0.116,259.9,0.164,272.4
2010-04-10 04:30:00,0.069,257.6,0.174,257.3
2010-04-10 05:00:00,0.089,250.0,0.172,271.7
2010-04-10 05:30:00,0.124,254.3,0.191,266.0
2010-04-10 06:00:00,0.188,255.3,0.205,268.2
2010-04-10 06:30:00,0.12,255.6,0.18,272.4
2010-04-10 07:00:00,0.127,244.0,0.17,263.5
2010-04-10 07:30:00,0.258,257.9,0.314,253.7
2010-04-10 08:00:00,0.125,268.3,0.208,268.0
2010-04-10 08:30:00,0.239,261.1,0.283,247.2
2010-04-10 09:00:00,0.253,256.2,0.108,257.2
2010-04-10 09:30:00,0.054,260.1,0.11,257.9
2010-04-10 10:00:00,0.08,277.4,0.182,255.5
2010-04-10 10:30:00,0.176,290.0,0.108,271.9
2010-04-10 11:00:00,0.072,241.0,0.186,280.1
2010-04-10 11:30:00,0.249,326.4,0.123,273.6
2010-04-10 12:00:00,0.18,297.0,0.046,225.2
2010-04-10 12:30:00,0.039,236.8,0.084,288.6
2010-04-10 13:00:00,0.115,300.0,0.068,259.7
2010-04-10 14:00:00,0.138,8.6,0.062,295.6
2010-04-10 14:30:00,0.024,233.9,0.013,301.2
2010-04-10 15:00:00,0.01,173.7,0.034,204.7
2010-04-10 15:30:00,0.046,210.5,0.091,348.1
2010-04-10 16:00:00,0.033,185.7,0.075,69.8
2010-04-10 16:30:00,0.06,89.6,0.112,63.8
2010-04-10 17:00:00,0.031,87.4,0.315,53.1
2010-04-10 17:30:00,0.043,57.8,0.141,71.3
2010-04-10 18:00:00,0.024,60.2,0.064,46.5
2010-04-10 18:30:00,0.124,52.8,0.104,41.2
2010-04-10 19:00:00,0.048,66.1,0.136,75.2
2010-04-10 19:30:00,0.28,94.1,0.12,45.5
2010-04-10 20:00:00,0.114,71.8,0.193,90.2
2010-04-10 20:30:00,0.12,68.0,0.174,104.5
2010-04-10 21:00:00,0.167,64.2,0.158,70.7
2010-04-12 09:00:00,0.134,263.0,0.242,266.6
2010-04-12 09:30:00,0.09,235.1,0.232,259.5
2010-04-12 10:00:00,,,,
2010-04-12 10:30:00,0.202,274.5,0.203,266.9
2010-04-12 11:00:00,0.157,268.5,0.171,272.2
2010-04-12 11:30:00,0.266,259.6,0.325,260.6
2010-04-12 12:00:00,0.188,264.2,0.236,260.8
2010-04-12 12:30:00,0.208,251.6,0.447,260.2
2010-04-12 13:00:00,0.219,265.0,0.583,271.6
2010-04-12 13:30:00,0.181,267.5,0.551,260.3
2010-04-12 14:00:00,0.192,264.7,0.202,258.4
2010-04-12 14:30:00,0.172,255.1,0.693,261.2
2010-04-13 10:00:00,0.032,305.6,0.186,265.7
2010-04-13 10:30:00,0.029,231.9,0.041,260.9
2010-04-13 11:00:00,0.058,240.5,0.043,296.0
2010-04-13 11:30:00,0.009,98.8,0.047,232.9
2010-04-13 12:00:00,0.003,4.7,0.413,290.2
