TIME,VHM0,VHM0_QC,VAVH,VAVH_QC,VH110,VH110_QC,VZMX,VZMX_QC,VTM02,VTM02_QC,VTPK,VTPK_QC,VTZA,VTZA_QC,VPED,VPED_QC,VMDR,VMDR_QC,UNDX,UNDX_QC,LATITUDE_QC,LONGITUDE_QC,DEPTH_QC
2018-04-05 10:14:01,0.68,1.0,0.65,1.0,0.82,1.0,0.93,1.0,4.1,1.0,5.25,1.0,4.13,1.0,177.04,1.0,176.35,1.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:15:01,0.68,1.0,0.65,1.0,0.82,1.0,0.93,1.0,4.1,1.0,5.25,1.0,4.13,1.0,177.04,1.0,176.35,1.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:16:01,0.68,1.0,0.65,1.0,0.82,1.0,0.93,1.0,4.1,1.0,5.25,1.0,4.13,1.0,177.04,1.0,176.35,1.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:17:01,0.68,1.0,0.65,1.0,0.82,1.0,0.93,1.0,4.1,1.0,5.25,1.0,4.13,1.0,177.04,1.0,176.35,1.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:18:01,0.68,3.0,0.65,3.0,0.82,3.0,0.93,3.0,4.1,3.0,5.25,3.0,4.13,3.0,177.04,3.0,176.35,3.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:19:01,0.68,3.0,0.65,3.0,0.82,3.0,0.93,3.0,4.1,3.0,5.25,3.0,4.13,3.0,177.04,3.0,176.35,3.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:20:01,0.68,3.0,0.65,3.0,0.82,3.0,0.93,3.0,4.1,3.0,5.25,3.0,4.13,3.0,177.04,3.0,176.35,3.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:21:01,0.68,3.0,0.65,3.0,0.82,3.0,0.93,3.0,4.1,3.0,5.25,3.0,4.13,3.0,177.04,3.0,176.35,3.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:22:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:23:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:24:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:25:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:26:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:27:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
2018-04-05 10:28:01,0.68,4.0,0.65,4.0,0.82,4.0,0.93,4.0,4.1,4.0,5.25,4.0,4.13,4.0,177.04,4.0,176.35,4.0,1.0,2.0,7.0,7.0,7.0
